Data Scientist,Stellenbosch University,Stellenbosch (+1 other),LinkedIn,4 days ago,Full–time,Help needed with the analysis and interpretation of multiomic databases from human and environmental diet-microbiome studies,"['Glassdoor\n 4,3  -  93 reviews\nIndeed\n 4,1  -  123 reviews\nPayScale\n 3,7  -  24 reviews']"
Data Scientist,Goldman Tech Resourcing,Stellenbosch,Learn4Good,22 hours ago,Contractor,"Job Description

We have an amazing opportunity for a Data Scientist in Stellenbosch!

We require a candidate with:

•Degree or Diploma in Computer Science/Information Technology

•5+ years of experience

•Scala/Python

•Zeppelin/Jupyter

•Spark/Flink

•Graph DB: JanusGraph, Neo4J

•Blockchain/DLT en Smart Contracts:

•HyperLedger frameworks and libraries",[]
Senior Data Scientist - Stellenbosch,Hire Resolve,Stellenbosch,Jobvine,16 days ago,Full–time,"A passionate Senior Data Scientist is wanted for a vibrant IT Company in Stellenbosch.

Requirements:

• South African Citizen
• Bachelor of Science degree or similar
• Minimum 5+ years’ experience
• At least 3 years’ experience in any data science related work (feature engineering, modeling, predictive analytics, etc.).
• Comfortable with most machine learning techniques (Random Forests, Neural Networks (ANN, Recurrent NN, Deep Learning), Support Vector Machines, etc.
• Knowledge of statistical concepts used in modeling (Bias-Variance trade-off, dimensionality reductions, Inter- & intra-subject variability, cross-validation, etc.).
• General programming experience, but specifically in R or Python (preferred) & use of version control (managing Git repositories).
• Additional skills in analyzing time series data, digital signal processing (frequency domain analysis) will carry extra weight in the application.

BACKGROUND & EDUCATION:

• A Masters’ degree in any of the following...
READ MORE","['Glassdoor\n 3,3  -  20 reviews\nIndeed\n 4,0  -  4 reviews\nPayScale\n 3,2  -  9 reviews']"
Data Scientist - Stellenbosch,Capitec Bank,Stellenbosch,LinkedIn,16 days ago,Full–time,"Purpose Statement

Our Decision Science team is currently recruiting for a Data Scientist.

The purpose of this role is to develop and maintain prediction models, also to analyse and interpret business challenges and requirements through the application of various data science/statistical analysis techniques, with the aim of implementing a timely and usable solution which address the business need and is good for our clients.

Qualifications (Minimum)

Grade 12 National Certificate

Qualifications (Ideal Or Preferred)

A relevant post graduate qualification in Statics or Mathematical Statistics

Knowledge

Min
• Knowledge and understanding of: Business Analysis and Requirements gathering Predictive modelling techniques Software development
• 3-5 Years' experience in development and deployment of advanced predictive models
Ideal

Knowledge And Understanding Of
• Operational environment
• Database design principles
• Capitec Bank strategic objectives (i.e. productivity, profile...
READ MORE","['Indeed\n 3,5  -  741 reviews\nGlassdoor\n 3,3  -  93 reviews\nPayScale\n 3,4  -  145 reviews']"
Data Scientist,OfferZen,Stellenbosch (+1 other),Hacendo.com,Full–time,,"*Dat**a Scientist* Companies on OfferZen are hiring for senior data scientists Requirements * 4+ years of experience as a Data Scientist* Degree in Computer Science, Statistics, Mathematics or similar discipline Skills * Statistical modeling for machine learning and AI * Proficient knowledge of R, Python, Java, SQL* Has worked or interested to work closely with development team *Sign up to OfferZen and get access to 1000+ companies hiring top tech talent*","['Glassdoor\n 4,8  -  20 reviews']"
Senior Data Scientist,Capital H Recruitment,Stellenbosch,South Africa,22 hours ago,Full–time,"Stellenbosch - Our client in the Banking industry is looking for Senior Data Scientists to join their team

Our client strives to be a client centric organisation, being prepared for client’s future needs while meeting their needs today. This is an exciting opportunity since you’ll become part of the data and analytics department that are busy building a trusted AI bank. You’ll be a part of a feature team with the right skills and support to deliver value to clients.

The Data Science team leverages machine learning through a well-defined Data Science Life Cycle to solve business problems and proactively meet business requirements. This includes a set of principles aimed at ensuring ethical model development and reducing unintended consequences of models.

As a data scientist, you have full access to all available data and you’ll be experimenting with, and build machine learning models utilizing existing frameworks such as Keras, H20, Pytorch, Spark and Scikit-learn. You will be...
READ MORE",[]
Data Scientist,Tumaini Consulting,Stellenbosch,LinkedIn,Over 1 month ago,Full–time,"Job Description

Are you Data Scientist seeking new career opportunities? Well we have the right job for you! An IT company is seeking a Data Scientist to join their Stellenbosch based team.

Requirements
• 3+ years’ experience in Data Science.
• Skilled in Python or Scala.
• Experience with Zeppelin/Jupyter, Spark/Flink, Graph DB (JanusGraph, Neo4J).
• Previous experience with Blockchain/DTL and Smart Contracts: HyperLedger frameworks and libraries.
Should you meet the requirements for this position, please email your CV to it.jobs@tumaini.co.za . You can also contact Jaime on 031 350 4018 or visit our website www.tumaini.co.za

Correspondence will only be conducted with short listed candidates. Should you not hear from us within 3 days, please consider your application unsuccessful.",[]
Data Scientist,Goldman Tech,Stellenbosch,LinkedIn,Over 1 month ago,Full–time,"Job Description

We have an amazing opportunity for a Data Scientist in Stellenbosch!

We Require a Candidate With
• Degree or Diploma in Computer Science/Information Technology
• 5+ years of experience
• Scala/Python
• Zeppelin/Jupyter
• Spark/Flink
• Graph DB: JanusGraph, Neo4J
• Blockchain/DLT en Smart Contracts:
• HyperLedger frameworks and libraries
Should you meet the requirements for this position, please email your CV to it.careers@goldmantech.co.za. You can also contact Daniela on 031 350 4019 or alternatively you can visit our website www.goldmantech.co.za

Should you not hear from us within 3 days, please consider your application unsuccessful.","['Glassdoor\n 1,5  -  2 reviews']"
Data Scientist,Capitec Bank,Stellenbosch,Jobsbucket.co.za,26 days ago,Full–time,"Purpose StatementOurDecision Scienceteam is currently recruiting for a Data Scientist The purpose of this role is to develop and maintain prediction models also to analyse and interpret business challenges and requirements through the application of various data sciencestatistical analysis techniques with the aim of implementing a timely and usable solution which address the business need and is good for ourclients Qualifications MinimumGrade 12 National CertificateQualifications Ideal or Preferred A relevant post graduate qualification in Statics or Mathematical StatisticsKnowledgeMin Knowledge and understanding of Business Analysis and Requirements gathering Predictive modelling techniques Software development 3 5 Years experience in development and deployment of advanced predictive models Ideal Knowledge and understanding of Operational environment Database design principles Capitec Bank strategic objectives ie productivity profile efficiency processes and procedures and client...
READ MORE","['Indeed\n 3,5  -  741 reviews\nGlassdoor\n 3,3  -  93 reviews\nPayScale\n 3,4  -  145 reviews']"
Senior Data Scientist,Hire Resolve,Stellenbosch (+1 other),LinkedIn,Over 1 month ago,Full–time,"Job Description

A passionate Senior Data Scientist is wanted for a vibrant IT Company in Stellenbosch.

Requirements
• South African Citizen
• Bachelor of Science degree or similar
• Minimum 5+ years’ experience
• At least 3 years’ experience in any data science related work (feature engineering, modeling, predictive analytics, etc.).
• Comfortable with most machine learning techniques (Random Forests, Neural Networks (ANN, Recurrent NN, Deep Learning), Support Vector Machines, etc.
• Knowledge of statistical concepts used in modeling (Bias-Variance trade-off, dimensionality reductions, Inter- & intra-subject variability, cross-validation, etc.).
• General programming experience, but specifically in R or Python (preferred) & use of version control (managing Git repositories).
• Additional skills in analyzing time series data, digital signal processing (frequency domain analysis) will carry extra weight in the application.
• BACKGROUND & EDUCATION:
• A Masters’ degree in any of the...
READ MORE","['Glassdoor\n 3,3  -  20 reviews\nIndeed\n 4,0  -  4 reviews\nPayScale\n 3,2  -  9 reviews']"
